Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
November 30 2020,Walla Walla,WA,Passenger,95,66,161,36056,36217,0.44
June 30 2020,Fairfax,VA,Passenger,5,3,8,741,749,1.07
December 31 2019,Whatcom,WA,Truck,2,0,2,43185,43187,0.00
July 31 2021,Okanogan,WA,Truck,0,0,0,16742,16742,0.00
February 29 2020,Suffolk,VA,Passenger,1,0,1,123,124,0.81
April 30 2021,Sacramento,CA,Passenger,2,1,3,250,253,1.19
April 30 2018,Prince William,VA,Passenger,0,5,5,265,270,1.85
July 31 2020,Columbia,WA,Passenger,4,3,7,2419,2426,0.29
September 30 2017,Whitman,WA,Passenger,12,22,34,22191,22225,0.15
February 28 2021,El Paso,TX,Passenger,3,0,3,397,400,0.75
November 30 2022,Clark,WA,Passenger,4777,1977,6754,314856,321610,2.10
June 30 2021,Riverside,CA,Passenger,5,1,6,556,562,1.07
March 31 2023,Broward,FL,Passenger,1,0,1,68,69,1.45
February 28 2022,Middlesex,MA,Passenger,0,1,1,93,94,1.06
February 28 2017,Manassas,VA,Passenger,0,1,1,8,9,11.11
December 31 2019,DeKalb,IN,Passenger,1,0,1,1,2,50.00
May 31 2018,San Mateo,CA,Passenger,1,1,2,137,139,1.44
July 31 2018,Orange,FL,Passenger,2,1,3,174,177,1.69
July 31 2019,Jefferson,NY,Passenger,0,2,2,218,220,0.91
April 30 2020,Carroll,NH,Passenger,0,1,1,4,5,20.00
April 30 2017,Morris,NJ,Passenger,1,0,1,22,23,4.35
September 30 2019,Franklin,MA,Passenger,0,1,1,1,2,50.00
June 30 2017,Stevens,WA,Passenger,8,23,31,31377,31408,0.10
December 31 2021,Fairfax,VA,Passenger,4,4,8,681,689,1.16
June 30 2022,Solano,CA,Passenger,1,0,1,163,164,0.61
April 30 2019,Ferry,WA,Truck,0,0,0,3592,3592,0.00
February 28 2021,Fresno,CA,Passenger,1,0,1,184,185,0.54
June 30 2019,Spartanburg,SC,Passenger,0,1,1,38,39,2.56
March 31 2023,Beaufort,SC,Passenger,1,0,1,27,28,3.57
August 31 2019,Shelby,OH,Passenger,0,1,1,2,3,33.33
October 31 2022,Eagle,CO,Passenger,1,0,1,8,9,11.11
July 31 2021,Wahkiakum,WA,Passenger,15,8,23,3090,3113,0.74
March 31 2018,Columbia,WA,Truck,0,0,0,1532,1532,0.00
November 30 2018,Honolulu,HI,Passenger,1,3,4,527,531,0.75
June 30 2019,Kootenai,ID,Passenger,1,1,2,224,226,0.88
July 31 2020,Polk,FL,Passenger,1,0,1,67,68,1.47
September 30 2019,Twin Falls,ID,Passenger,0,1,1,27,28,3.57
March 31 2023,Maui,HI,Passenger,1,0,1,24,25,4.00
December 31 2018,Franklin,MA,Passenger,0,1,1,1,2,50.00
January 31 2018,Klickitat,WA,Truck,0,0,0,7992,7992,0.00
December 31 2019,Okanogan,WA,Truck,0,0,0,16545,16545,0.00
May 31 2023,Klickitat,WA,Truck,11,0,11,8256,8267,0.13
April 30 2023,Ada,ID,Passenger,2,0,2,125,127,1.57
May 31 2023,Norfolk,VA,Passenger,3,2,5,274,279,1.79
July 31 2022,Fairbanks North Star,AK,Passenger,0,1,1,75,76,1.32
May 31 2017,Portsmouth,VA,Passenger,0,1,1,67,68,1.47
November 30 2021,Kauai,HI,Passenger,1,0,1,19,20,5.00
July 31 2022,Pacific,WA,Truck,0,0,0,7876,7876,0.00
December 31 2019,Snohomish,WA,Passenger,4020,1708,5728,535996,541724,1.06
July 31 2020,Middlesex,MA,Passenger,1,1,2,96,98,2.04
November 30 2021,Platte,MO,Passenger,1,0,1,21,22,4.55
July 31 2021,Columbia,OR,Passenger,1,0,1,23,24,4.17
January 31 2022,Meade,KY,Passenger,1,0,1,23,24,4.17
May 31 2018,Marion,IN,Passenger,1,0,1,120,121,0.83
July 31 2022,Montgomery,MD,Passenger,4,2,6,204,210,2.86
August 31 2018,Maui,HI,Passenger,1,0,1,56,57,1.75
October 31 2022,Suffolk,VA,Passenger,1,0,1,115,116,0.86
February 28 2023,Autauga,AL,Passenger,2,0,2,14,16,12.50
April 30 2020,Montgomery,PA,Passenger,1,0,1,33,34,2.94
March 31 2022,Wilson,NC,Passenger,1,0,1,0,1,100.00
October 31 2018,Norfolk,VA,Passenger,2,2,4,340,344,1.16
December 31 2022,Island,WA,Passenger,929,397,1326,61367,62693,2.12
May 31 2018,Washington,OR,Passenger,0,1,1,479,480,0.21
February 28 2021,Whatcom,WA,Truck,3,0,3,43628,43631,0.01
February 28 2021,Okaloosa,FL,Passenger,0,1,1,139,140,0.71
December 31 2020,Denver,CO,Passenger,1,0,1,120,121,0.83
January 31 2020,Larimer,CO,Passenger,1,0,1,55,56,1.79
May 31 2017,Kitsap,WA,Truck,1,0,1,52379,52380,0.00
March 31 2023,Whitman,WA,Passenger,131,71,202,22013,22215,0.91
July 31 2019,Pierce,WA,Truck,0,0,0,140002,140002,0.00
October 31 2019,Clark,NV,Passenger,5,2,7,703,710,0.99
October 31 2017,Whatcom,WA,Truck,2,0,2,41873,41875,0.00
May 31 2022,New London,CT,Passenger,2,3,5,197,202,2.48
December 31 2019,San Juan,WA,Truck,0,0,0,5931,5931,0.00
October 31 2022,Contra Costa,CA,Passenger,0,3,3,216,219,1.37
June 30 2017,Garfield,WA,Passenger,0,0,0,1295,1295,0.00
December 31 2018,El Paso,TX,Passenger,1,0,1,495,496,0.20
April 30 2022,District of Columbia,DC,Passenger,3,0,3,182,185,1.62
December 31 2018,Albemarle,VA,Passenger,1,0,1,26,27,3.70
July 31 2021,Hillsborough,FL,Passenger,0,2,2,147,149,1.34
June 30 2022,Lincoln,WA,Passenger,8,18,26,7703,7729,0.34
April 30 2021,San Diego,CA,Passenger,17,5,22,2653,2675,0.82
April 30 2020,Pacific,WA,Passenger,30,34,64,15832,15896,0.40
August 31 2018,Duval,FL,Passenger,1,2,3,383,386,0.78
June 30 2020,Mason,WA,Truck,0,0,0,20597,20597,0.00
March 31 2023,Harrison,MS,Passenger,1,0,1,35,36,2.78
June 30 2017,Flathead,MT,Passenger,1,0,1,62,63,1.59
June 30 2018,Montgomery,MD,Passenger,1,0,1,287,288,0.35
January 31 2024,Newport,RI,Passenger,0,1,1,47,48,2.08
November 30 2020,Okaloosa,FL,Passenger,0,1,1,142,143,0.70
July 31 2017,Orleans,LA,Passenger,0,1,1,47,48,2.08
June 30 2021,Stevens,WA,Passenger,45,45,90,30457,30547,0.29
April 30 2018,Santa Clara,CA,Passenger,6,1,7,388,395,1.77
November 30 2017,Pend Oreille,WA,Truck,0,0,0,5594,5594,0.00
May 31 2017,Yakima,WA,Truck,0,0,0,57278,57278,0.00
May 31 2019,Mason,WA,Passenger,121,120,241,47000,47241,0.51
March 31 2023,Benton,WA,Passenger,1039,534,1573,135708,137281,1.15
June 30 2020,Yakima,WA,Truck,0,0,0,59889,59889,0.00
March 31 2023,Kent,DE,Passenger,1,0,1,49,50,2.00
January 31 2022,Santa Cruz,CA,Passenger,1,0,1,27,28,3.57
February 28 2019,Collier,FL,Passenger,1,0,1,18,19,5.26
May 31 2022,Bartow,GA,Passenger,0,1,1,4,5,20.00
July 31 2018,Skagit,WA,Truck,1,0,1,32120,32121,0.00
December 31 2021,Prince William,VA,Passenger,1,2,3,208,211,1.42
February 28 2019,San Diego,CA,Passenger,10,3,13,2635,2648,0.49
May 31 2019,Cochise,AZ,Passenger,0,1,1,112,113,0.88
June 30 2018,Volusia,FL,Passenger,0,1,1,36,37,2.70
October 31 2022,Orange,NC,Passenger,0,1,1,7,8,12.50
November 30 2018,Contra Costa,CA,Passenger,0,2,2,415,417,0.48
April 30 2021,Montgomery,MD,Passenger,1,0,1,236,237,0.42
June 30 2023,Houston,GA,Passenger,1,0,1,30,31,3.23
August 31 2021,Asotin,WA,Passenger,21,17,38,12719,12757,0.30
June 30 2017,Sangamon,IL,Passenger,1,0,1,11,12,8.33
March 31 2023,Sarpy,NE,Passenger,1,0,1,57,58,1.72
April 30 2017,Franklin,OH,Passenger,0,1,1,125,126,0.79
June 30 2020,Osceola,FL,Passenger,1,0,1,39,40,2.50
June 30 2021,Meade,KY,Passenger,1,0,1,25,26,3.85
October 31 2022,Randolph,NC,Passenger,1,0,1,6,7,14.29
December 31 2021,Bartow,GA,Passenger,0,1,1,4,5,20.00
May 31 2022,Marion,IA,Passenger,1,0,1,0,1,100.00
December 31 2021,Lewis,WA,Passenger,205,164,369,59588,59957,0.62
October 31 2020,Island,WA,Passenger,463,285,748,62840,63588,1.18
June 30 2022,Kitsap,WA,Truck,4,0,4,53591,53595,0.01
January 31 2020,Los Angeles,CA,Passenger,7,12,19,1091,1110,1.71
March 31 2021,Alameda,CA,Passenger,4,0,4,265,269,1.49
November 30 2023,Skamania,WA,Passenger,134,52,186,7913,8099,2.30
January 31 2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33
June 30 2023,Nueces,TX,Passenger,1,1,2,50,52,3.85
June 30 2018,Yakima,WA,Passenger,60,88,148,163770,163918,0.09
November 30 2022,Goochland,VA,Passenger,1,2,3,85,88,3.41
May 31 2023,Grays Harbor,WA,Passenger,292,182,474,48340,48814,0.97
September 30 2022,Prince William,VA,Passenger,0,2,2,194,196,1.02
May 31 2021,Suffolk,VA,Passenger,1,0,1,124,125,0.80
August 31 2022,Williamsburg,VA,Passenger,0,1,1,7,8,12.50
December 31 2018,Lane,OR,Passenger,0,1,1,174,175,0.57
September 30 2020,Dallas,TX,Passenger,1,0,1,186,187,0.53
January 31 2023,Montgomery,PA,Passenger,1,0,1,21,22,4.55
March 31 2021,San Mateo,CA,Passenger,1,1,2,111,113,1.77
November 30 2023,Kauai,HI,Passenger,0,1,1,14,15,6.67
July 31 2021,Washington,MD,Passenger,2,0,2,11,13,15.38
October 31 2022,Miami-Dade,FL,Passenger,1,0,1,70,71,1.41
April 30 2023,Grays Harbor,WA,Truck,4,0,4,20985,20989,0.02
December 31 2018,San Juan,WA,Passenger,183,69,252,14217,14469,1.74
January 31 2019,Spokane,WA,Truck,1,0,1,93929,93930,0.00
November 30 2021,El Paso,CO,Passenger,3,1,4,681,685,0.58
July 31 2021,San Juan,WA,Passenger,443,139,582,14234,14816,3.93
August 31 2019,Saginaw,MI,Passenger,1,0,1,13,14,7.14
February 28 2023,Prince William,VA,Passenger,0,2,2,179,181,1.10
July 31 2019,Brevard,FL,Passenger,0,1,1,86,87,1.15
February 28 2023,Sarpy,NE,Passenger,1,0,1,55,56,1.79
January 31 2017,Morris,NJ,Passenger,1,0,1,23,24,4.17
March 31 2019,Kalamazoo,MI,Passenger,1,0,1,13,14,7.14
September 30 2023,Adams,WA,Truck,3,0,3,5321,5324,0.06
January 31 2023,Garfield,WA,Passenger,1,3,4,1314,1318,0.30
January 31 2017,Cumberland,NC,Passenger,1,0,1,640,641,0.16
September 30 2017,Tulare,CA,Passenger,1,0,1,198,199,0.50
May 31 2021,Henrico,VA,Passenger,0,1,1,16,17,5.88
November 30 2021,Baltimore,MD,Passenger,1,0,1,90,91,1.10
November 30 2019,District of Columbia,DC,Passenger,1,1,2,209,211,0.95
February 28 2019,Spartanburg,SC,Passenger,0,1,1,35,36,2.78
April 30 2021,Anchorage,AK,Passenger,1,0,1,151,152,0.66
September 30 2023,Monterey,CA,Truck,1,0,1,29,30,3.33
December 31 2022,Kitsap,WA,Passenger,2762,1144,3906,176941,180847,2.16
July 31 2022,Garfield,WA,Truck,0,0,0,974,974,0.00
January 31 2018,Klickitat,WA,Passenger,24,26,50,14932,14982,0.33
October 31 2020,Clark,WA,Truck,0,0,0,83143,83143,0.00
July 31 2018,Douglas,NE,Passenger,0,1,1,74,75,1.33
August 31 2021,Walla Walla,WA,Truck,0,0,0,14078,14078,0.00
July 31 2019,Marion,OR,Passenger,1,0,1,122,123,0.81
December 31 2021,Lane,OR,Passenger,0,2,2,119,121,1.65
July 31 2019,Dallas,TX,Passenger,1,0,1,209,210,0.48
April 30 2020,Hawaii,HI,Passenger,1,0,1,60,61,1.64
August 31 2022,Albemarle,VA,Passenger,3,0,3,19,22,13.64
December 31 2019,Shelby,OH,Passenger,0,1,1,2,3,33.33
August 31 2022,Virginia Beach,VA,Passenger,2,1,3,507,510,0.59
January 31 2023,Chelan,WA,Truck,15,0,15,23099,23114,0.06
February 28 2022,Anne Arundel,MD,Passenger,4,1,5,365,370,1.35
August 31 2017,Missoula,MT,Passenger,1,0,1,70,71,1.41
January 31 2017,New Haven,CT,Passenger,0,1,1,65,66,1.52
November 30 2022,Frederick,MD,Passenger,1,0,1,60,61,1.64
August 31 2022,Placer,CA,Passenger,2,0,2,69,71,2.82
October 31 2023,Camden,NJ,Passenger,0,1,1,11,12,8.33
February 28 2021,Sarasota,FL,Passenger,2,0,2,33,35,5.71
December 31 2022,Mercer,NJ,Passenger,0,1,1,14,15,6.67
May 31 2017,Kitsap,WA,Passenger,595,302,897,172834,173731,0.52
February 28 2023,Whitman,WA,Passenger,124,70,194,22001,22195,0.87
April 30 2018,King,WA,Truck,7,1,8,183318,183326,0.00
July 31 2019,Orange,CA,Passenger,6,1,7,544,551,1.27
August 31 2022,Garfield,WA,Passenger,1,3,4,1316,1320,0.30
February 28 2019,Norfolk,MA,Passenger,1,0,1,36,37,2.70
November 30 2017,Latah,ID,Passenger,0,1,1,80,81,1.23
January 31 2023,Placer,CA,Passenger,2,0,2,62,64,3.12
September 30 2023,Hamilton,OH,Truck,1,0,1,3,4,25.00
July 31 2018,DeKalb,IN,Passenger,1,0,1,1,2,50.00
September 30 2021,Walla Walla,WA,Truck,0,0,0,14075,14075,0.00
September 30 2017,Wahkiakum,WA,Passenger,0,2,2,2836,2838,0.07
July 31 2017,Fairfax,VA,Passenger,3,2,5,851,856,0.58
September 30 2022,Pacific,WA,Passenger,70,74,144,15753,15897,0.91
December 31 2020,Island,WA,Passenger,507,290,797,62928,63725,1.25
June 30 2022,Kauai,HI,Passenger,1,0,1,17,18,5.56
May 31 2022,Providence,RI,Passenger,1,0,1,23,24,4.17
November 30 2023,Wilson,TX,Passenger,0,1,1,3,4,25.00
May 31 2018,Wahkiakum,WA,Truck,0,0,0,1674,1674,0.00
October 31 2020,Harrison,MS,Passenger,1,0,1,54,55,1.82
January 31 2022,Thurston,WA,Passenger,1920,972,2892,196187,199079,1.45
June 30 2022,Mason,WA,Passenger,310,177,487,47322,47809,1.02
November 30 2023,York,VA,Passenger,1,0,1,64,65,1.54
September 30 2023,DeKalb,GA,Passenger,2,0,2,36,38,5.26
August 31 2023,Newport News,VA,Passenger,1,0,1,95,96,1.04
November 30 2022,Virginia Beach,VA,Truck,1,0,1,114,115,0.87
December 31 2022,Providence,RI,Passenger,1,0,1,18,19,5.26
March 31 2023,Kootenai,ID,Truck,1,0,1,30,31,3.23
January 31 2020,Greene,MO,Passenger,0,1,1,33,34,2.94
May 31 2021,Chesapeake,VA,Passenger,0,3,3,397,400,0.75
August 31 2020,Alameda,CA,Passenger,2,0,2,278,280,0.71
December 31 2021,Whatcom,WA,Truck,4,0,4,43670,43674,0.01
July 31 2019,Fairbanks North Star,AK,Passenger,0,1,1,98,99,1.01
June 30 2022,Fulton,GA,Passenger,1,0,1,71,72,1.39
November 30 2021,Rockingham,NH,Passenger,1,0,1,21,22,4.55
February 28 2022,Lake,IN,Passenger,0,1,1,9,10,10.00
March 31 2023,Providence,RI,Passenger,1,0,1,18,19,5.26
January 31 2020,Flathead,MT,Passenger,1,0,1,69,70,1.43
March 31 2017,Eagle,CO,Passenger,1,0,1,8,9,11.11
June 30 2018,DeKalb,IN,Passenger,1,0,1,1,2,50.00
August 31 2018,Whatcom,WA,Passenger,653,321,974,148238,149212,0.65
February 28 2023,Okanogan,WA,Passenger,108,56,164,26126,26290,0.62
January 31 2018,Garfield,WA,Passenger,1,0,1,1329,1330,0.08
September 30 2021,Columbia,WA,Passenger,7,2,9,2448,2457,0.37
September 30 2023,Douglas,WA,Passenger,224,71,295,28690,28985,1.02
March 31 2019,Douglas,WA,Truck,0,0,0,12155,12155,0.00
April 30 2021,Pacific,WA,Truck,0,0,0,7917,7917,0.00
September 30 2020,King,WA,Truck,5,1,6,183642,183648,0.00
September 30 2021,Douglas,CO,Passenger,0,1,1,85,86,1.16
November 30 2022,Whitman,WA,Passenger,109,65,174,21940,22114,0.79
March 31 2022,San Diego,CA,Passenger,16,7,23,2478,2501,0.92
June 30 2023,Coryell,TX,Passenger,1,0,1,76,77,1.30
September 30 2020,Leavenworth,KS,Passenger,0,1,1,115,116,0.86
February 28 2021,Hampshire,MA,Passenger,1,0,1,8,9,11.11
November 30 2019,Williamson,TX,Passenger,0,2,2,151,153,1.31
March 31 2019,Jefferson,WA,Passenger,179,118,297,24876,25173,1.18
December 31 2018,Tulsa,OK,Passenger,1,1,2,51,53,3.77
September 30 2020,Fort Bend,TX,Passenger,1,0,1,44,45,2.22
May 31 2020,Snohomish,WA,Truck,0,0,0,123355,123355,0.00
July 31 2023,Newport,RI,Passenger,0,1,1,55,56,1.79
August 31 2017,Manassas,VA,Passenger,0,1,1,9,10,10.00
November 30 2021,Ray,MO,Passenger,0,1,1,1,2,50.00
January 31 2023,Ray,MO,Passenger,0,1,1,0,1,100.00
January 31 2018,Mason,WA,Passenger,65,77,142,44970,45112,0.31
July 31 2020,Charles,MD,Passenger,1,1,2,78,80,2.50
February 28 2023,Garfield,WA,Passenger,1,3,4,1311,1315,0.30
March 31 2021,Fairfax,VA,Passenger,5,4,9,720,729,1.23
September 30 2019,Clark,NV,Passenger,5,2,7,700,707,0.99
April 30 2022,Fairbanks North Star,AK,Passenger,0,1,1,82,83,1.20
August 31 2021,Henrico,VA,Passenger,0,1,1,13,14,7.14
June 30 2023,Escambia,FL,Passenger,0,1,1,133,134,0.75
March 31 2021,Orange,NC,Passenger,0,1,1,12,13,7.69
January 31 2023,Albemarle,VA,Passenger,2,0,2,17,19,10.53
November 30 2022,Rockdale,GA,Passenger,1,0,1,6,7,14.29
March 31 2019,DeKalb,IN,Passenger,1,0,1,1,2,50.00
October 31 2022,Wilson,TX,Passenger,0,1,1,3,4,25.00
June 30 2022,Clark,NV,Passenger,8,2,10,542,552,1.81
April 30 2023,Walla Walla,WA,Truck,5,0,5,13747,13752,0.04
March 31 2021,Goochland,VA,Passenger,4,3,7,245,252,2.78
April 30 2023,Skamania,WA,Passenger,100,53,153,8094,8247,1.86
September 30 2020,Tarrant,TX,Passenger,1,0,1,175,176,0.57
January 31 2020,San Joaquin,CA,Passenger,1,0,1,139,140,0.71
April 30 2019,Dakota,MN,Passenger,0,2,2,35,37,5.41
February 28 2022,Loudoun,VA,Passenger,1,0,1,66,67,1.49
September 30 2021,Polk,FL,Passenger,1,0,1,62,63,1.59
October 31 2022,Manassas,VA,Passenger,0,1,1,8,9,11.11
April 30 2023,Rock Island,IL,Passenger,0,1,1,12,13,7.69
November 30 2019,Sarasota,FL,Passenger,2,0,2,32,34,5.88
September 30 2022,Marion,IA,Passenger,1,0,1,0,1,100.00
November 30 2021,Pacific,WA,Truck,0,0,0,8001,8001,0.00
April 30 2018,Pacific,WA,Truck,0,0,0,7595,7595,0.00
November 30 2018,Travis,TX,Passenger,1,1,2,210,212,0.94
February 28 2022,Thurston,WA,Passenger,1970,989,2959,195734,198693,1.49
March 31 2020,Columbia,OR,Passenger,1,0,1,27,28,3.57
September 30 2020,Lane,OR,Passenger,0,1,1,148,149,0.67
May 31 2020,Montgomery,OH,Passenger,0,1,1,48,49,2.04
February 28 2022,Plaquemines,LA,Passenger,0,1,1,19,20,5.00
May 31 2022,Wake,NC,Passenger,1,0,1,99,100,1.00
August 31 2022,Collier,FL,Passenger,1,0,1,16,17,5.88
May 31 2022,Lake,IN,Passenger,0,1,1,9,10,10.00
September 30 2021,Wichita,TX,Passenger,1,0,1,43,44,2.27
June 30 2020,Oldham,KY,Passenger,0,1,1,4,5,20.00
May 31 2019,Nantucket,MA,Passenger,1,0,1,2,3,33.33
October 31 2023,El Paso,CO,Passenger,4,2,6,450,456,1.32
July 31 2021,Anne Arundel,MD,Passenger,4,1,5,385,390,1.28
January 31 2024,Spokane,WA,Truck,70,0,70,98634,98704,0.07
September 30 2020,Harris,TX,Passenger,1,0,1,245,246,0.41
July 31 2020,Jefferson,NY,Passenger,0,1,1,209,210,0.48
October 31 2021,Vigo,IN,Passenger,1,0,1,5,6,16.67
June 30 2019,Guadalupe,TX,Passenger,1,0,1,77,78,1.28
September 30 2019,Osceola,FL,Passenger,1,0,1,42,43,2.33
December 31 2022,Bartow,GA,Passenger,0,1,1,4,5,20.00
February 28 2023,Spokane,WA,Passenger,2037,982,3019,323729,326748,0.92
December 31 2022,Skamania,WA,Passenger,89,52,141,8108,8249,1.71
December 31 2020,Franklin,WA,Passenger,85,83,168,61352,61520,0.27
May 31 2022,Harford,MD,Passenger,1,1,2,50,52,3.85
April 30 2017,Orange,FL,Passenger,1,1,2,148,150,1.33
December 31 2021,Santa Cruz,CA,Passenger,1,0,1,27,28,3.57
December 31 2020,Lake,FL,Passenger,1,0,1,23,24,4.17
December 31 2022,Spokane,WA,Passenger,1937,932,2869,324132,327001,0.88
February 28 2019,Pierce,WA,Passenger,1611,1428,3039,538786,541825,0.56
September 30 2022,Pierce,WA,Truck,46,0,46,140360,140406,0.03
June 30 2017,Norfolk,VA,Passenger,1,1,2,317,319,0.63
March 31 2023,Kern,CA,Passenger,1,1,2,194,196,1.02
May 31 2018,San Francisco,CA,Passenger,0,1,1,132,133,0.75
April 30 2020,Columbia,WA,Passenger,3,3,6,2408,2414,0.25
June 30 2017,Wahkiakum,WA,Passenger,0,2,2,2832,2834,0.07
June 30 2017,Pend Oreille,WA,Passenger,3,4,7,9316,9323,0.08
June 30 2023,Lee,AL,Passenger,1,0,1,14,15,6.67
April 30 2020,Denton,TX,Passenger,1,0,1,95,96,1.04
August 31 2021,Maui,HI,Passenger,1,0,1,28,29,3.45
August 31 2017,Grays Harbor,WA,Passenger,37,37,74,44960,45034,0.16
November 30 2019,Orange,CA,Passenger,7,2,9,530,539,1.67
April 30 2017,Clark,NV,Passenger,1,3,4,862,866,0.46
April 30 2019,Grant,WA,Truck,0,0,0,26426,26426,0.00
May 31 2017,Thurston,WA,Passenger,390,334,724,186031,186755,0.39
January 31 2020,Prince William,VA,Passenger,2,4,6,237,243,2.47
May 31 2021,Yakima,WA,Truck,0,0,0,61672,61672,0.00
May 31 2019,Allegheny,PA,Passenger,1,0,1,89,90,1.11
July 31 2019,Polk,FL,Passenger,1,0,1,68,69,1.45
December 31 2020,Penobscot,ME,Passenger,0,1,1,10,11,9.09
June 30 2023,Larimer,CO,Passenger,1,0,1,32,33,3.03
August 31 2020,Rogers,OK,Passenger,1,0,1,5,6,16.67
October 31 2018,Klamath,OR,Passenger,1,0,1,36,37,2.70
January 31 2020,Lake,IL,Passenger,1,0,1,171,172,0.58
June 30 2017,Jefferson,WA,Passenger,104,61,165,23850,24015,0.69
December 31 2017,Walla Walla,WA,Truck,0,0,0,13293,13293,0.00
May 31 2017,Mason,WA,Truck,0,0,0,19259,19259,0.00
August 31 2018,Adams,WA,Truck,0,0,0,5173,5173,0.00
December 31 2018,Pacific,WA,Truck,0,0,0,7610,7610,0.00
April 30 2019,Goochland,VA,Passenger,1,1,2,254,256,0.78
June 30 2022,San Joaquin,CA,Passenger,1,1,2,95,97,2.06
September 30 2019,Guadalupe,TX,Passenger,1,0,1,74,75,1.33
October 31 2022,Washington,MD,Passenger,2,0,2,12,14,14.29
December 31 2020,Kauai,HI,Passenger,1,0,1,17,18,5.56
October 31 2022,Carroll,MD,Passenger,0,1,1,18,19,5.26
March 31 2020,Dallas,IA,Passenger,0,1,1,10,11,9.09
October 31 2021,Adams,WA,Truck,0,0,0,5407,5407,0.00
August 31 2018,Garfield,WA,Truck,0,0,0,955,955,0.00
November 30 2017,Whatcom,WA,Truck,1,0,1,41925,41926,0.00
November 30 2023,Maricopa,AZ,Passenger,6,2,8,558,566,1.41
June 30 2023,Pacific,WA,Passenger,77,92,169,15619,15788,1.07
September 30 2023,Portsmouth,VA,Passenger,0,1,1,65,66,1.52
April 30 2020,Lake,FL,Passenger,1,0,1,22,23,4.35
June 30 2022,Douglas,WA,Passenger,131,58,189,28483,28672,0.66
March 31 2020,Placer,CA,Passenger,2,0,2,98,100,2.00
August 31 2020,Lincoln,WA,Truck,0,0,0,4650,4650,0.00
September 30 2021,Lincoln,WA,Passenger,7,16,23,7679,7702,0.30
June 30 2023,Pierce,WA,Truck,164,0,164,137218,137382,0.12
January 31 2018,Whitman,WA,Truck,0,0,0,8474,8474,0.00
December 31 2020,Kern,CA,Passenger,0,1,1,219,220,0.45
November 30 2019,Kern,CA,Passenger,0,1,1,223,224,0.45
November 30 2022,Saratoga,NY,Passenger,1,0,1,41,42,2.38
August 31 2023,Hamilton,OH,Passenger,1,0,1,30,31,3.23
December 31 2022,Whitman,WA,Passenger,110,67,177,21924,22101,0.80
September 30 2021,Okanogan,WA,Passenger,67,44,111,26533,26644,0.42
October 31 2022,Jefferson,WA,Truck,5,0,5,9389,9394,0.05
July 31 2023,King,WA,Truck,783,2,785,174802,175587,0.45
October 31 2021,Skagit,WA,Truck,1,0,1,32823,32824,0.00
November 30 2022,Stafford,VA,Passenger,3,1,4,88,92,4.35
October 31 2022,Bexar,TX,Passenger,4,3,7,431,438,1.60
July 31 2020,Montgomery,OH,Passenger,0,1,1,49,50,2.00
November 30 2020,Denton,TX,Passenger,1,0,1,88,89,1.12
February 28 2023,Lee,FL,Passenger,1,0,1,33,34,2.94
November 30 2021,Oldham,KY,Passenger,0,1,1,4,5,20.00
March 31 2022,Powhatan,VA,Passenger,1,0,1,1,2,50.00
December 31 2021,Yakima,WA,Passenger,286,173,459,168714,169173,0.27
October 31 2019,Saginaw,MI,Passenger,1,0,1,12,13,7.69
July 31 2021,Chelan,WA,Passenger,350,101,451,54709,55160,0.82
December 31 2017,Alameda,CA,Passenger,0,1,1,356,357,0.28
January 31 2020,Maricopa,AZ,Passenger,7,8,15,1563,1578,0.95
July 31 2021,Williams,ND,Passenger,0,1,1,7,8,12.50
September 30 2019,Hennepin,MN,Passenger,3,1,4,102,106,3.77
April 30 2022,Denton,TX,Passenger,1,0,1,65,66,1.52
September 30 2023,Polk,OR,Passenger,1,1,2,12,14,14.29
March 31 2019,Sangamon,IL,Passenger,2,0,2,7,9,22.22
