Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2023,Platte,MO,Passenger,1,0,1,21,22,4.55
November 30 2017,San Mateo,CA,Passenger,0,1,1,149,150,0.67
July 31 2023,Williamsburg,VA,Passenger,0,1,1,5,6,16.67
May 31 2021,Benton,WA,Truck,0,0,0,43667,43667,0.00
November 30 2023,San Joaquin,CA,Passenger,0,1,1,62,63,1.59
August 31 2020,Montgomery,PA,Passenger,1,0,1,29,30,3.33
August 31 2019,Kent,MI,Passenger,0,1,1,25,26,3.85
August 31 2022,Prince William,VA,Passenger,0,2,2,194,196,1.02
October 31 2021,Pennington,SD,Passenger,1,0,1,32,33,3.03
March 31 2022,Coryell,TX,Passenger,1,0,1,105,106,0.94
October 31 2021,Bartow,GA,Passenger,0,1,1,4,5,20.00
September 30 2017,Nantucket,MA,Passenger,1,0,1,3,4,25.00
January 31 2023,Whatcom,WA,Passenger,2161,820,2981,148666,151647,1.97
November 30 2018,Mason,WA,Passenger,103,110,213,46415,46628,0.46
April 30 2017,Asotin,WA,Truck,0,0,0,6505,6505,0.00
February 29 2020,Loudoun,VA,Passenger,1,0,1,90,91,1.10
August 31 2021,Ventura,CA,Passenger,1,3,4,262,266,1.50
September 30 2023,Multnomah,OR,Passenger,1,2,3,386,389,0.77
August 31 2021,Duval,FL,Passenger,0,2,2,349,351,0.57
May 31 2022,Goochland,VA,Passenger,4,2,6,143,149,4.03
January 31 2018,Ramsey,MN,Passenger,1,0,1,41,42,2.38
July 31 2021,Boone,MO,Passenger,0,1,1,10,11,9.09
August 31 2018,Morris,NJ,Passenger,1,0,1,16,17,5.88
July 31 2020,Solano,CA,Passenger,1,0,1,208,209,0.48
November 30 2022,Ventura,CA,Passenger,3,2,5,227,232,2.16
May 31 2022,Alexandria,VA,Passenger,4,0,4,106,110,3.64
July 31 2018,Utah,UT,Passenger,0,1,1,139,140,0.71
August 31 2022,Hamilton,OH,Passenger,1,0,1,34,35,2.86
August 31 2020,Bexar,TX,Passenger,3,5,8,613,621,1.29
July 31 2019,Douglas,WA,Truck,0,0,0,12219,12219,0.00
February 29 2020,Asotin,WA,Passenger,16,11,27,12669,12696,0.21
November 30 2018,Cumberland,NC,Passenger,0,1,1,536,537,0.19
December 31 2022,Harford,MD,Passenger,1,1,2,42,44,4.55
May 31 2020,Alameda,CA,Passenger,2,1,3,282,285,1.05
December 31 2020,Montgomery,TX,Passenger,1,0,1,50,51,1.96
July 31 2020,Klickitat,WA,Passenger,56,43,99,15111,15210,0.65
November 30 2017,Arlington,VA,Passenger,1,2,3,173,176,1.70
December 31 2017,Essex,NJ,Passenger,1,0,1,12,13,7.69
June 30 2017,Northampton,PA,Passenger,1,0,1,147,148,0.68
November 30 2017,DeKalb,GA,Passenger,1,0,1,87,88,1.14
May 31 2022,Greene,MO,Passenger,0,1,1,28,29,3.45
March 31 2021,Gwinnett,GA,Passenger,1,0,1,67,68,1.47
September 30 2022,New Haven,CT,Passenger,0,2,2,30,32,6.25
October 31 2021,Dallas,IA,Passenger,0,1,1,8,9,11.11
May 31 2020,Sumter,FL,Passenger,0,1,1,9,10,10.00
January 31 2021,Broward,FL,Passenger,2,1,3,111,114,2.63
February 28 2021,Newport,RI,Passenger,0,1,1,81,82,1.22
October 31 2021,Spokane,WA,Passenger,1216,727,1943,326297,328240,0.59
February 28 2021,Camden,NJ,Passenger,0,1,1,17,18,5.56
November 30 2021,Hennepin,MN,Passenger,3,0,3,69,72,4.17
July 31 2019,Sangamon,IL,Passenger,1,0,1,6,7,14.29
August 31 2020,Wilson,TX,Passenger,0,1,1,6,7,14.29
December 31 2021,Kings,CA,Passenger,2,1,3,334,337,0.89
October 31 2019,Spokane,WA,Truck,1,0,1,96074,96075,0.00
September 30 2023,Chesapeake,VA,Passenger,2,1,3,270,273,1.10
July 31 2020,Portsmouth,VA,Passenger,0,1,1,73,74,1.35
January 31 2021,San Joaquin,CA,Passenger,1,0,1,113,114,0.88
March 31 2023,Alexandria,VA,Passenger,3,1,4,90,94,4.26
February 28 2023,Contra Costa,CA,Passenger,0,3,3,201,204,1.47
September 30 2020,Yakima,WA,Truck,0,0,0,60570,60570,0.00
August 31 2023,Honolulu,HI,Passenger,3,3,6,256,262,2.29
March 31 2023,St. Mary's,MD,Passenger,1,0,1,178,179,0.56
March 31 2020,Clark,WA,Passenger,1983,1061,3044,320235,323279,0.94
November 30 2018,Duval,FL,Passenger,1,2,3,387,390,0.77
September 30 2022,Prince George's,MD,Passenger,3,1,4,126,130,3.08
July 31 2021,Pinellas,FL,Passenger,0,1,1,101,102,0.98
February 28 2018,Skamania,WA,Passenger,11,8,19,8622,8641,0.22
May 31 2018,Los Angeles,CA,Passenger,5,4,9,1181,1190,0.76
May 31 2020,Williamson,TX,Passenger,0,2,2,141,143,1.40
June 30 2017,Pend Oreille,WA,Truck,0,0,0,5573,5573,0.00
April 30 2022,Douglas,WA,Truck,0,0,0,12741,12741,0.00
February 28 2018,Asotin,WA,Truck,0,0,0,6581,6581,0.00
May 31 2017,Asotin,WA,Truck,0,0,0,6492,6492,0.00
February 28 2017,Hamilton,IN,Passenger,1,0,1,67,68,1.47
September 30 2020,Pend Oreille,WA,Passenger,8,4,12,9185,9197,0.13
June 30 2022,Fort Bend,TX,Passenger,1,0,1,27,28,3.57
November 30 2018,Lewis,WA,Truck,0,0,0,25625,25625,0.00
March 31 2018,Benton,WA,Truck,0,0,0,40797,40797,0.00
May 31 2018,Columbia,WA,Truck,0,0,0,1526,1526,0.00
October 31 2018,,,Passenger,4,2,6,424,430,1.40
July 31 2021,Montgomery,PA,Passenger,1,0,1,25,26,3.85
September 30 2021,Allen,IN,Passenger,1,0,1,19,20,5.00
December 31 2020,Eagle,CO,Passenger,1,0,1,8,9,11.11
March 31 2021,Pacific,WA,Truck,0,0,0,7877,7877,0.00
June 30 2023,Ferry,WA,Passenger,21,4,25,4331,4356,0.57
April 30 2017,Utah,UT,Passenger,0,1,1,169,170,0.59
September 30 2020,Bexar,TX,Passenger,3,5,8,609,617,1.30
November 30 2022,Orange,CA,Passenger,8,3,11,364,375,2.93
June 30 2018,Multnomah,OR,Passenger,3,4,7,807,814,0.86
July 31 2022,Santa Clara,CA,Passenger,11,2,13,242,255,5.10
November 30 2021,Riverside,CA,Passenger,5,1,6,521,527,1.14
June 30 2022,Denton,TX,Passenger,1,0,1,64,65,1.54
December 31 2020,Collin,TX,Passenger,2,1,3,122,125,2.40
June 30 2021,San Mateo,CA,Passenger,1,0,1,109,110,0.91
September 30 2017,Madison,ID,Passenger,1,0,1,38,39,2.56
August 31 2018,St. Lucie,FL,Passenger,1,0,1,30,31,3.23
February 28 2018,Franklin,MA,Passenger,0,1,1,3,4,25.00
August 31 2023,King,WA,Passenger,62448,15374,77822,1320729,1398551,5.56
August 31 2017,Ferry,WA,Truck,0,0,0,3534,3534,0.00
September 30 2020,Prince William,VA,Passenger,2,3,5,224,229,2.18
January 31 2020,Snohomish,WA,Truck,0,0,0,123629,123629,0.00
November 30 2022,Wahkiakum,WA,Passenger,25,13,38,3040,3078,1.23
February 28 2023,Montgomery,TN,Passenger,1,0,1,178,179,0.56
November 30 2022,York,VA,Passenger,1,0,1,82,83,1.20
August 31 2022,Montgomery,PA,Passenger,1,0,1,23,24,4.17
August 31 2020,Collin,TX,Passenger,2,1,3,126,129,2.33
June 30 2023,Pulaski,MO,Passenger,2,0,2,93,95,2.11
October 31 2017,Hamilton,TN,Passenger,1,0,1,21,22,4.55
September 30 2023,Middlesex,NJ,Passenger,1,0,1,17,18,5.56
October 31 2018,Virginia Beach,VA,Passenger,2,1,3,692,695,0.43
June 30 2017,Grays Harbor,WA,Passenger,35,31,66,44774,44840,0.15
April 30 2017,Clark,WA,Passenger,755,471,1226,298456,299682,0.41
April 30 2020,Tarrant,TX,Passenger,2,0,2,188,190,1.05
December 31 2018,Sacramento,CA,Passenger,0,1,1,317,318,0.31
June 30 2023,Montgomery,TN,Passenger,1,0,1,158,159,0.63
December 31 2022,Montgomery,TN,Passenger,1,0,1,182,183,0.55
August 31 2020,Richland,SC,Passenger,0,1,1,150,151,0.66
September 30 2020,Cascade,MT,Passenger,0,1,1,58,59,1.69
January 31 2017,Guilford,NC,Passenger,1,0,1,35,36,2.78
September 30 2021,Calvert,MD,Passenger,0,2,2,86,88,2.27
November 30 2018,Carroll,NH,Passenger,0,1,1,1,2,50.00
May 31 2018,Montgomery,PA,Passenger,2,0,2,36,38,5.26
December 31 2023,Plaquemines,LA,Passenger,1,1,2,15,17,11.76
July 31 2023,Yakima,WA,Passenger,516,261,777,166021,166798,0.47
April 30 2021,Charleston,SC,Passenger,2,0,2,93,95,2.11
May 31 2020,San Diego,CA,Passenger,15,5,20,2734,2754,0.73
January 31 2024,Walla Walla,WA,Passenger,269,138,407,34440,34847,1.17
April 30 2017,Adams,WA,Passenger,2,3,5,12126,12131,0.04
June 30 2021,Pacific,WA,Passenger,45,53,98,16044,16142,0.61
March 31 2017,Clark,NV,Passenger,1,3,4,870,874,0.46
December 31 2018,Asotin,WA,Passenger,12,9,21,12722,12743,0.16
December 31 2023,Skamania,WA,Truck,2,0,2,3725,3727,0.05
August 31 2021,Snohomish,WA,Passenger,6304,2135,8439,539223,547662,1.54
July 31 2017,Dane,WI,Passenger,1,0,1,87,88,1.14
October 31 2018,Carson City,NV,Passenger,1,0,1,14,15,6.67
March 31 2017,Manassas,VA,Passenger,0,1,1,9,10,10.00
June 30 2021,King,WA,Passenger,30489,9165,39654,1367845,1407499,2.82
December 31 2022,Ferry,WA,Passenger,24,4,28,4342,4370,0.64
May 31 2017,Chelan,WA,Truck,0,0,0,21246,21246,0.00
February 28 2018,Garfield,WA,Truck,0,0,0,941,941,0.00
April 30 2020,San Diego,CA,Passenger,14,5,19,2756,2775,0.68
September 30 2020,Grant,WA,Truck,0,0,0,27296,27296,0.00
September 30 2017,Arlington,VA,Passenger,1,2,3,165,168,1.79
March 31 2018,Anne Arundel,MD,Passenger,0,1,1,466,467,0.21
June 30 2017,Canyon,ID,Passenger,0,1,1,102,103,0.97
August 31 2020,Allegheny,PA,Passenger,1,0,1,79,80,1.25
November 30 2021,Hudson,NJ,Passenger,1,0,1,44,45,2.22
May 31 2021,Sarasota,FL,Passenger,2,0,2,33,35,5.71
June 30 2022,Whitman,WA,Truck,1,0,1,8572,8573,0.01
July 31 2019,Fresno,CA,Passenger,1,0,1,201,202,0.50
July 31 2017,Franklin,WA,Passenger,26,47,73,55728,55801,0.13
October 31 2018,Columbia,WA,Passenger,2,2,4,2433,2437,0.16
September 30 2023,Houston,GA,Passenger,1,0,1,29,30,3.33
March 31 2019,New London,CT,Passenger,0,1,1,247,248,0.40
March 31 2023,Riverside,CA,Passenger,6,0,6,413,419,1.43
July 31 2023,Beaufort,SC,Passenger,1,0,1,29,30,3.33
November 30 2023,Otero,NM,Passenger,0,1,1,20,21,4.76
July 31 2019,Albemarle,VA,Passenger,1,0,1,23,24,4.17
July 31 2018,Clay,FL,Passenger,0,1,1,91,92,1.09
October 31 2018,Polk,FL,Passenger,1,0,1,63,64,1.56
March 31 2018,Cowlitz,WA,Truck,0,0,0,28268,28268,0.00
August 31 2017,Asotin,WA,Truck,0,0,0,6516,6516,0.00
December 31 2019,Columbia,WA,Passenger,3,3,6,2450,2456,0.24
May 31 2023,St. Louis,MO,Passenger,1,0,1,53,54,1.85
August 31 2018,Fulton,GA,Passenger,1,2,3,106,109,2.75
October 31 2022,Middlesex,MA,Passenger,2,1,3,76,79,3.80
February 28 2023,Galveston,TX,Passenger,0,1,1,18,19,5.26
October 31 2021,Las Animas,CO,Passenger,1,0,1,0,1,100.00
February 28 2017,DeKalb,IN,Passenger,1,0,1,1,2,50.00
January 31 2024,Texas,MO,Passenger,1,0,1,1,2,50.00
January 31 2022,King,WA,Passenger,36343,10399,46742,1355555,1402297,3.33
September 30 2023,Thurston,WA,Truck,70,0,70,53582,53652,0.13
July 31 2023,Stevens,WA,Truck,2,0,2,18715,18717,0.01
May 31 2021,Clallam,WA,Truck,1,0,1,21997,21998,0.00
December 31 2017,Tarrant,TX,Passenger,1,0,1,229,230,0.43
April 30 2018,Montgomery,TX,Passenger,1,0,1,64,65,1.54
November 30 2023,Portsmouth,VA,Passenger,0,1,1,62,63,1.59
April 30 2019,Montgomery,PA,Passenger,2,0,2,39,41,4.88
March 31 2023,Yuba,CA,Passenger,1,0,1,54,55,1.82
February 29 2020,Osceola,FL,Passenger,1,0,1,42,43,2.33
March 31 2022,RÃ­o Grande,PR,Passenger,1,0,1,0,1,100.00
August 31 2017,Benton,WA,Truck,0,0,0,40166,40166,0.00
September 30 2023,Whatcom,WA,Truck,67,0,67,42405,42472,0.16
June 30 2017,Cowlitz,WA,Passenger,50,60,110,69649,69759,0.16
September 30 2017,Jefferson,WA,Passenger,114,65,179,24008,24187,0.74
January 31 2017,Montgomery,MD,Passenger,1,0,1,314,315,0.32
January 31 2021,Charles,MD,Passenger,1,1,2,75,77,2.60
November 30 2019,Ferry,WA,Passenger,5,2,7,4415,4422,0.16
April 30 2018,Pinal,AZ,Passenger,2,0,2,211,213,0.94
January 31 2024,Bell,TX,Passenger,1,0,1,196,197,0.51
September 30 2021,Suffolk,VA,Passenger,1,0,1,125,126,0.79
March 31 2020,Multnomah,OR,Passenger,4,7,11,750,761,1.45
February 28 2021,Pacific,WA,Passenger,37,38,75,15810,15885,0.47
April 30 2023,St. Clair,IL,Passenger,1,0,1,104,105,0.95
November 30 2017,Carroll,NH,Passenger,0,1,1,1,2,50.00
June 30 2023,James City,VA,Passenger,1,0,1,38,39,2.56
October 31 2020,Norfolk,VA,Passenger,2,3,5,347,352,1.42
October 31 2023,Hennepin,MN,Passenger,1,0,1,30,31,3.23
July 31 2021,Bartow,GA,Passenger,0,1,1,4,5,20.00
April 30 2023,El Paso,CO,Passenger,3,2,5,520,525,0.95
January 31 2023,Lincoln,WA,Passenger,14,19,33,7764,7797,0.42
February 28 2018,Kitsap,WA,Truck,1,0,1,52838,52839,0.00
October 31 2022,Douglas,WA,Truck,2,0,2,12808,12810,0.02
January 31 2022,Douglas,CO,Passenger,0,1,1,86,87,1.15
October 31 2018,DeKalb,GA,Passenger,1,0,1,80,81,1.23
August 31 2021,Richland,SC,Passenger,0,1,1,137,138,0.72
September 30 2022,Sarpy,NE,Passenger,1,0,1,59,60,1.67
October 31 2019,Chelan,WA,Passenger,191,75,266,54649,54915,0.48
April 30 2019,Franklin,WA,Truck,0,0,0,19211,19211,0.00
April 30 2020,Lake,IL,Passenger,1,0,1,173,174,0.57
April 30 2022,Allegheny,PA,Passenger,1,1,2,64,66,3.03
March 31 2017,Salt Lake,UT,Passenger,0,1,1,308,309,0.32
February 28 2023,Walla Walla,WA,Passenger,206,107,313,35679,35992,0.87
April 30 2020,Arlington,VA,Passenger,0,2,2,153,155,1.29
September 30 2020,Chelan,WA,Passenger,260,80,340,54298,54638,0.62
December 31 2021,Kitsap,WA,Truck,0,0,0,54147,54147,0.00
April 30 2020,Alameda,CA,Passenger,3,1,4,288,292,1.37
November 30 2019,Brevard,FL,Passenger,0,1,1,91,92,1.09
February 28 2023,Lane,OR,Passenger,0,2,2,89,91,2.20
July 31 2019,Grant,WA,Passenger,43,61,104,65010,65114,0.16
May 31 2021,Island,WA,Truck,0,0,0,21579,21579,0.00
October 31 2022,Nueces,TX,Passenger,0,1,1,52,53,1.89
March 31 2021,Wahkiakum,WA,Passenger,9,7,16,3083,3099,0.52
January 31 2021,Fairfax,VA,Passenger,5,3,8,719,727,1.10
May 31 2018,Franklin,WA,Truck,0,0,0,18642,18642,0.00
March 31 2017,Cumberland,NC,Passenger,1,0,1,627,628,0.16
October 31 2017,Howard,MD,Passenger,0,2,2,90,92,2.17
June 30 2019,Nassau,NY,Passenger,4,0,4,42,46,8.70
September 30 2019,New Haven,CT,Passenger,0,2,2,46,48,4.17
September 30 2021,Wilson,TX,Passenger,0,1,1,3,4,25.00
May 31 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
October 31 2023,Hawaii,HI,Passenger,1,0,1,26,27,3.70
June 30 2021,Henrico,VA,Passenger,0,1,1,14,15,6.67
May 31 2022,Okaloosa,FL,Passenger,0,1,1,102,103,0.97
May 31 2021,Manassas,VA,Passenger,0,1,1,7,8,12.50
January 31 2021,Twin Falls,ID,Passenger,0,1,1,27,28,3.57
February 28 2021,Montgomery,PA,Passenger,1,0,1,27,28,3.57
June 30 2021,Columbia,WA,Truck,0,0,0,1545,1545,0.00
May 31 2018,Northampton,PA,Passenger,0,1,1,64,65,1.54
November 30 2021,Jefferson,WA,Truck,0,0,0,9599,9599,0.00
June 30 2019,Maricopa,AZ,Passenger,6,4,10,1595,1605,0.62
January 31 2018,Riverside,CA,Passenger,1,2,3,727,730,0.41
February 28 2023,St. Louis,MO,Passenger,1,0,1,56,57,1.75
October 31 2023,Franklin,WA,Passenger,368,154,522,61782,62304,0.84
July 31 2019,San Juan,WA,Passenger,220,72,292,14440,14732,1.98
October 31 2017,Manatee,FL,Passenger,1,0,1,41,42,2.38
June 30 2022,Walla Walla,WA,Truck,0,0,0,13932,13932,0.00
April 30 2021,Philadelphia,PA,Passenger,1,0,1,55,56,1.79
March 31 2020,Prince George's,MD,Passenger,1,1,2,173,175,1.14
December 31 2023,Kent,DE,Passenger,1,0,1,40,41,2.44
December 31 2020,Collier,FL,Passenger,1,0,1,18,19,5.26
December 31 2019,Santa Rosa,FL,Passenger,1,0,1,90,91,1.10
February 28 2023,Fairbanks North Star,AK,Passenger,0,1,1,62,63,1.59
December 31 2019,Loudoun,VA,Passenger,1,0,1,93,94,1.06
August 31 2020,Ventura,CA,Passenger,1,1,2,283,285,0.70
July 31 2021,Okaloosa,FL,Passenger,0,1,1,121,122,0.82
June 30 2019,Vigo,IN,Passenger,1,0,1,6,7,14.29
April 30 2019,Franklin,WA,Passenger,53,67,120,59460,59580,0.20
January 31 2019,Anne Arundel,MD,Passenger,0,1,1,447,448,0.22
May 31 2021,San Juan,WA,Truck,0,0,0,5922,5922,0.00
December 31 2020,Philadelphia,PA,Passenger,1,0,1,63,64,1.56
June 30 2020,Denton,TX,Passenger,1,0,1,91,92,1.09
August 31 2020,San Joaquin,CA,Passenger,1,0,1,127,128,0.78
August 31 2017,Alameda,CA,Passenger,0,1,1,362,363,0.28
June 30 2022,Whatcom,WA,Truck,7,0,7,43334,43341,0.02
April 30 2023,Honolulu,HI,Passenger,3,3,6,283,289,2.08
March 31 2021,Middlesex,MA,Passenger,1,1,2,100,102,1.96
November 30 2020,Nassau,NY,Passenger,4,0,4,32,36,11.11
March 31 2022,Clark,WA,Passenger,3743,1654,5397,318135,323532,1.67
July 31 2022,Multnomah,OR,Passenger,0,3,3,539,542,0.55
January 31 2021,Loudoun,VA,Passenger,1,0,1,71,72,1.39
February 28 2022,Harnett,NC,Passenger,1,0,1,157,158,0.63
September 30 2023,Pulaski,AR,Passenger,2,0,2,15,17,11.76
December 31 2020,Plaquemines,LA,Passenger,0,1,1,14,15,6.67
February 28 2022,Broward,FL,Passenger,2,0,2,97,99,2.02
July 31 2018,Orleans,LA,Passenger,0,1,1,48,49,2.04
April 30 2023,Adams,WA,Truck,2,0,2,5337,5339,0.04
May 31 2022,Pend Oreille,WA,Truck,0,0,0,5627,5627,0.00
August 31 2019,Yakima,WA,Passenger,112,108,220,165615,165835,0.13
November 30 2018,Clark,WA,Truck,0,0,0,79734,79734,0.00
January 31 2018,Northampton,PA,Passenger,0,1,1,65,66,1.52
May 31 2023,Whatcom,WA,Passenger,2395,872,3267,147881,151148,2.16
August 31 2021,Skagit,WA,Passenger,620,287,907,91684,92591,0.98
December 31 2023,Walla Walla,WA,Passenger,263,132,395,34819,35214,1.12
April 30 2021,Hillsborough,FL,Passenger,0,1,1,156,157,0.64
September 30 2017,Grays Harbor,WA,Truck,0,0,0,19973,19973,0.00
January 31 2020,DuPage,IL,Passenger,4,0,4,65,69,5.80
September 30 2020,Bartow,GA,Passenger,0,1,1,5,6,16.67
April 30 2022,Las Animas,CO,Passenger,1,0,1,1,2,50.00
April 30 2017,Manassas,VA,Passenger,0,1,1,10,11,9.09
June 30 2023,Fairfax,VA,Truck,1,0,1,85,86,1.16
August 31 2020,Twin Falls,ID,Passenger,0,1,1,24,25,4.00
April 30 2023,Lewis,WA,Passenger,301,198,499,58918,59417,0.84
December 31 2023,Whitman,WA,Passenger,197,97,294,21576,21870,1.34
October 31 2022,Skamania,WA,Passenger,85,51,136,8092,8228,1.65
November 30 2018,Palm Beach,FL,Passenger,0,2,2,92,94,2.13
May 31 2023,Harnett,NC,Passenger,4,0,4,136,140,2.86
April 30 2021,Ray,MO,Passenger,0,1,1,1,2,50.00
June 30 2020,Suffolk,VA,Passenger,1,0,1,125,126,0.79
September 30 2020,Howard,IN,Passenger,0,1,1,3,4,25.00
June 30 2023,Harris,TX,Passenger,1,1,2,135,137,1.46
December 31 2020,Alexandria,VA,Passenger,3,0,3,130,133,2.26
August 31 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
October 31 2023,Ferry,WA,Passenger,23,4,27,4256,4283,0.63
April 30 2021,Kitsap,WA,Truck,0,0,0,54548,54548,0.00
January 31 2018,Montgomery,MD,Passenger,1,0,1,301,302,0.33
August 31 2022,Grant,WA,Truck,1,0,1,27980,27981,0.00
April 30 2020,Flathead,MT,Passenger,1,0,1,71,72,1.39
December 31 2022,Palm Beach,FL,Passenger,1,1,2,51,53,3.77
June 30 2022,Suffolk,MA,Passenger,0,1,1,22,23,4.35
January 31 2023,Adams,CO,Passenger,1,0,1,30,31,3.23
June 30 2023,Sarpy,NE,Passenger,1,0,1,54,55,1.82
December 31 2023,Bartow,GA,Passenger,0,1,1,3,4,25.00
February 28 2021,Morris,NJ,Passenger,1,0,1,15,16,6.25
September 30 2022,Whitman,WA,Truck,2,0,2,8581,8583,0.02
February 28 2021,Klickitat,WA,Passenger,65,45,110,14996,15106,0.73
May 31 2019,Okanogan,WA,Passenger,21,23,44,26068,26112,0.17
August 31 2018,Arlington,VA,Passenger,1,1,2,175,177,1.13
August 31 2019,Sangamon,IL,Passenger,1,0,1,6,7,14.29
May 31 2022,Clallam,WA,Passenger,410,244,654,49762,50416,1.30
April 30 2022,Chelan,WA,Truck,0,0,0,23059,23059,0.00
July 31 2019,Klickitat,WA,Truck,0,0,0,8251,8251,0.00
December 31 2019,Virginia Beach,VA,Passenger,1,0,1,693,694,0.14
November 30 2021,New London,CT,Passenger,1,3,4,217,221,1.81
November 30 2018,Sedgwick,KS,Passenger,0,1,1,102,103,0.97
September 30 2021,St. Mary's,MD,Passenger,1,0,1,207,208,0.48
March 31 2017,Benton,WA,Passenger,140,139,279,127927,128206,0.22
July 31 2021,Skagit,WA,Passenger,608,281,889,91841,92730,0.96
January 31 2021,Pend Oreille,WA,Passenger,12,3,15,9177,9192,0.16
July 31 2017,Dale,AL,Passenger,0,1,1,62,63,1.59
March 31 2017,Jefferson,NY,Passenger,1,1,2,260,262,0.76
March 31 2021,Larimer,CO,Passenger,1,0,1,53,54,1.85
February 28 2017,Bergen,NJ,Passenger,0,2,2,33,35,5.71
June 30 2022,Boone,MO,Passenger,0,1,1,9,10,10.00
December 31 2023,Grant,WA,Truck,14,0,14,27437,27451,0.05
January 31 2022,Lee,FL,Passenger,1,0,1,35,36,2.78
April 30 2022,Lincoln,WA,Truck,0,0,0,4852,4852,0.00
December 31 2023,Currituck,NC,Passenger,1,0,1,16,17,5.88
September 30 2020,Lincoln,WA,Passenger,5,10,15,7595,7610,0.20
March 31 2022,Fort Bend,TX,Passenger,1,0,1,33,34,2.94
February 28 2023,Jefferson,WA,Passenger,509,242,751,24258,25009,3.00
December 31 2023,Pend Oreille,WA,Truck,2,0,2,5464,5466,0.04
March 31 2018,Marion,IN,Passenger,1,0,1,119,120,0.83
October 31 2023,Pulaski,AR,Passenger,2,0,2,15,17,11.76
July 31 2019,Saginaw,MI,Passenger,1,0,1,12,13,7.69
October 31 2022,Richmond,NY,Passenger,1,0,1,4,5,20.00
January 31 2017,King,WA,Truck,8,1,9,191065,191074,0.00
December 31 2017,Okanogan,WA,Truck,0,0,0,16270,16270,0.00
July 31 2018,Gwinnett,GA,Passenger,0,1,1,85,86,1.16
July 31 2023,Muscogee,GA,Passenger,0,1,1,95,96,1.04
July 31 2022,Wichita,TX,Passenger,1,0,1,41,42,2.38
July 31 2023,Benton,WA,Passenger,1172,578,1750,135264,137014,1.28
May 31 2021,Clark,NV,Passenger,5,2,7,642,649,1.08
November 30 2017,Bexar,TX,Passenger,1,1,2,831,833,0.24
July 31 2023,Prince William,VA,Passenger,0,2,2,162,164,1.22
April 30 2017,San Mateo,CA,Passenger,0,1,1,160,161,0.62
September 30 2020,Solano,CA,Passenger,1,0,1,203,204,0.49
January 31 2022,New York,NY,Passenger,1,0,1,40,41,2.44
July 31 2023,Sarpy,NE,Passenger,1,0,1,53,54,1.85
December 31 2023,Clark,WA,Passenger,7089,2622,9711,308103,317814,3.06
December 31 2017,Utah,UT,Passenger,0,1,1,140,141,0.71
October 31 2020,Broward,FL,Passenger,1,1,2,114,116,1.72
May 31 2019,Dakota,MN,Passenger,0,2,2,36,38,5.26
April 30 2020,Jefferson,WA,Truck,0,0,0,9529,9529,0.00
March 31 2021,Monterey,CA,Passenger,0,1,1,155,156,0.64
January 31 2024,Boulder,CO,Passenger,1,0,1,21,22,4.55
May 31 2020,Jones,GA,Passenger,1,0,1,1,2,50.00
August 31 2019,Klickitat,WA,Truck,0,0,0,8290,8290,0.00
January 31 2017,Franklin,WA,Truck,0,0,0,17909,17909,0.00
September 30 2021,District of Columbia,DC,Passenger,4,0,4,193,197,2.03
August 31 2019,Owyhee,ID,Passenger,1,0,1,4,5,20.00
October 31 2020,Carroll,NH,Passenger,0,1,1,5,6,16.67
April 30 2018,Stevens,WA,Truck,0,0,0,18506,18506,0.00
May 31 2018,Mercer,NJ,Passenger,0,1,1,21,22,4.55
September 30 2023,Kern,CA,Passenger,1,1,2,165,167,1.20
January 31 2019,Palm Beach,FL,Passenger,0,2,2,90,92,2.17
November 30 2023,Essex,NJ,Passenger,2,0,2,6,8,25.00
December 31 2020,Albemarle,VA,Passenger,1,0,1,23,24,4.17
June 30 2021,Wilson,TX,Passenger,0,1,1,4,5,20.00
February 28 2017,Chelan,WA,Passenger,55,29,84,51758,51842,0.16
